Date,Open,Close,Return Close day vs Close previous day
"May 15, 2023","4,126.65","4,136.28",0.30%
"May 12, 2023","4,138.54","4,124.08",-0.16%
"May 11, 2023","4,132.24","4,130.62",-0.17%
"May 10, 2023","4,143.74","4,137.64",0.45%
"May 09, 2023","4,124.25","4,119.17",-0.46%
"May 08, 2023","4,136.98","4,138.12",0.05%
"May 05, 2023","4,084.73","4,136.25",1.85%
"May 04, 2023","4,082.55","4,061.22",-0.72%
"May 03, 2023","4,122.25","4,090.75",-0.70%
"May 02, 2023","4,164.10","4,119.58",-1.16%
"May 01, 2023","4,166.79","4,167.87",-0.04%
"Apr 28, 2023","4,129.63","4,169.48",0.83%
"Apr 27, 2023","4,075.29","4,135.35",1.96%
"Apr 26, 2023","4,087.78","4,055.99",-0.38%
"Apr 25, 2023","4,126.43","4,071.63",-1.58%
"Apr 24, 2023","4,132.07","4,137.04",0.09%
"Apr 21, 2023","4,132.14","4,133.52",0.09%
"Apr 20, 2023","4,130.48","4,129.79",-0.60%
"Apr 19, 2023","4,139.33","4,154.52",-0.01%
"Apr 18, 2023","4,164.26","4,154.87",0.09%
"Apr 17, 2023","4,137.17","4,151.32",0.33%
"Apr 14, 2023","4,140.11","4,137.64",-0.21%
"Apr 13, 2023","4,100.04","4,146.22",1.33%
"Apr 12, 2023","4,121.72","4,091.95",-0.41%
"Apr 11, 2023","4,110.29","4,108.94",0.00%
"Apr 10, 2023","4,085.20","4,109.11",0.10%
"Apr 06, 2023","4,081.15","4,105.02",0.36%
"Apr 05, 2023","4,094.50","4,090.38",-0.25%
"Apr 04, 2023","4,128.03","4,100.60",-0.58%
"Apr 03, 2023","4,102.20","4,124.51",0.37%
"Mar 31, 2023","4,056.18","4,109.31",1.44%
"Mar 30, 2023","4,046.74","4,050.83",0.57%
"Mar 29, 2023","3,999.53","4,027.81",1.42%
"Mar 28, 2023","3,974.13","3,971.27",-0.16%
"Mar 27, 2023","3,982.93","3,977.53",0.16%
"Mar 24, 2023","3,939.21","3,970.99",0.56%
"Mar 23, 2023","3,959.21","3,948.72",0.30%
"Mar 22, 2023","4,002.04","3,936.97",-1.65%
"Mar 21, 2023","3,975.89","4,002.87",1.30%
"Mar 20, 2023","3,917.47","3,951.57",0.89%
"Mar 17, 2023","3,958.69","3,916.64",-1.10%
"Mar 16, 2023","3,878.93","3,960.28",1.76%
"Mar 15, 2023","3,876.74","3,891.93",-0.70%
"Mar 14, 2023","3,894.01","3,919.29",1.65%
"Mar 13, 2023","3,835.12","3,855.76",-0.15%
"Mar 10, 2023","3,912.77","3,861.59",-1.45%
"Mar 09, 2023","3,998.66","3,918.32",-1.85%
"Mar 08, 2023","3,987.55","3,992.01",0.14%
"Mar 07, 2023","4,048.26","3,986.37",-1.53%
"Mar 06, 2023","4,055.15","4,048.42",0.07%
"Mar 03, 2023","3,998.02","4,045.64",1.61%
"Mar 02, 2023","3,938.68","3,981.35",0.76%
"Mar 01, 2023","3,963.34","3,951.39",-0.47%
"Feb 28, 2023","3,977.19","3,970.15",-0.30%
"Feb 27, 2023","3,992.36","3,982.24",0.31%
"Feb 24, 2023","3,973.24","3,970.04",-1.05%
"Feb 23, 2023","4,018.60","4,012.32",0.53%
"Feb 22, 2023","4,001.83","3,991.05",-0.16%
"Feb 21, 2023","4,052.35","3,997.34",-2.00%
"Feb 17, 2023","4,077.39","4,079.09",-0.28%
"Feb 16, 2023","4,114.75","4,090.41",-1.38%
"Feb 15, 2023","4,119.50","4,147.60",0.28%
"Feb 14, 2023","4,126.70","4,136.13",-0.03%
"Feb 13, 2023","4,096.62","4,137.29",1.14%
"Feb 10, 2023","4,068.92","4,090.46",0.22%
"Feb 09, 2023","4,144.25","4,081.50",-0.88%
"Feb 08, 2023","4,153.47","4,117.86",-1.11%
"Feb 07, 2023","4,105.35","4,164.00",1.29%
"Feb 06, 2023","4,119.57","4,111.08",-0.61%
"Feb 03, 2023","4,136.69","4,136.48",-1.04%
"Feb 02, 2023","4,158.68","4,179.76",1.47%
"Feb 01, 2023","4,070.07","4,119.21",1.05%
"Jan 31, 2023","4,020.85","4,076.60",1.46%
"Jan 30, 2023","4,049.27","4,017.77",-1.30%
"Jan 27, 2023","4,053.72","4,070.56",0.25%
"Jan 26, 2023","4,036.08","4,060.43",1.10%
"Jan 25, 2023","3,982.71","4,016.22",-0.02%
"Jan 24, 2023","4,001.74","4,016.95",-0.07%
"Jan 23, 2023","3,978.14","4,019.81",1.19%
"Jan 20, 2023","3,909.04","3,972.61",1.89%
"Jan 19, 2023","3,911.84","3,898.85",-0.76%
"Jan 18, 2023","4,002.25","3,928.86",-1.56%
"Jan 17, 2023","3,999.28","3,990.97",-0.20%
"Jan 13, 2023","3,960.60","3,999.09",0.40%
"Jan 12, 2023","3,977.57","3,983.17",0.34%
"Jan 11, 2023","3,932.35","3,969.61",1.28%
"Jan 10, 2023","3,888.57","3,919.25",0.70%
"Jan 09, 2023","3,910.82","3,892.09",-0.08%
"Jan 06, 2023","3,823.37","3,895.08",2.28%
"Jan 05, 2023","3,839.74","3,808.10",-1.16%
"Jan 04, 2023","3,840.36","3,852.97",0.75%
"Jan 03, 2023","3,853.29","3,824.14",-0.40%
"Dec 30, 2022","3,829.06","3,839.50",-0.25%
"Dec 29, 2022","3,805.45","3,849.28",1.75%
"Dec 28, 2022","3,829.56","3,783.22",-1.20%
"Dec 27, 2022","3,843.34","3,829.25",-0.40%
"Dec 23, 2022","3,815.11","3,844.82",0.59%
"Dec 22, 2022","3,853.26","3,822.39",-1.45%
"Dec 21, 2022","3,839.49","3,878.44",1.49%
"Dec 20, 2022","3,810.47","3,821.62",0.10%
"Dec 19, 2022","3,853.79","3,817.66",-0.90%
"Dec 16, 2022","3,890.91","3,852.36",-1.11%
"Dec 15, 2022","3,958.37","3,895.75",-2.49%
"Dec 14, 2022","4,015.54","3,995.32",-0.61%
"Dec 13, 2022","4,069.38","4,019.65",0.73%
"Dec 12, 2022","3,939.29","3,990.56",1.43%
"Dec 09, 2022","3,954.17","3,934.38",-0.73%
"Dec 08, 2022","3,947.79","3,963.51",0.75%
"Dec 07, 2022","3,933.28","3,933.92",-0.19%
"Dec 06, 2022","3,996.63","3,941.26",-1.44%
"Dec 05, 2022","4,052.02","3,998.84",-1.79%
"Dec 02, 2022","4,040.17","4,071.70",-0.12%
"Dec 01, 2022","4,087.14","4,076.57",-0.09%
"Nov 30, 2022","3,957.18","4,080.11",3.09%
"Nov 29, 2022","3,964.19","3,957.63",-0.16%
"Nov 28, 2022","4,005.36","3,963.94",-1.54%
"Nov 25, 2022","4,023.34","4,026.12",-0.03%
"Nov 23, 2022","4,000.30","4,027.26",0.59%
"Nov 22, 2022","3,965.51","4,003.58",1.36%
"Nov 21, 2022","3,956.23","3,949.94",-0.39%
"Nov 18, 2022","3,966.39","3,965.34",0.48%
"Nov 17, 2022","3,919.26","3,946.56",-0.31%
"Nov 16, 2022","3,976.82","3,958.79",-0.83%
"Nov 15, 2022","4,006.41","3,991.73",0.87%
"Nov 14, 2022","3,977.97","3,957.25",-0.89%
"Nov 11, 2022","3,963.72","3,992.93",0.92%
"Nov 10, 2022","3,859.89","3,956.37",5.54%
"Nov 09, 2022","3,810.94","3,748.57",-2.08%
"Nov 08, 2022","3,817.02","3,828.11",0.56%
"Nov 07, 2022","3,780.71","3,806.80",0.96%
"Nov 04, 2022","3,766.98","3,770.55",1.36%
"Nov 03, 2022","3,733.25","3,719.89",-1.06%
"Nov 02, 2022","3,852.90","3,759.69",-2.50%
"Nov 01, 2022","3,901.79","3,856.10",-0.41%
"Oct 31, 2022","3,881.85","3,871.98",-0.75%
"Oct 28, 2022","3,808.26","3,901.06",2.46%
"Oct 27, 2022","3,834.69","3,807.30",-0.61%
"Oct 26, 2022","3,825.97","3,830.60",-0.74%
"Oct 25, 2022","3,799.44","3,859.11",1.63%
"Oct 24, 2022","3,762.01","3,797.34",1.19%
"Oct 21, 2022","3,657.10","3,752.75",2.37%
"Oct 20, 2022","3,689.05","3,665.78",-0.80%
"Oct 19, 2022","3,703.11","3,695.16",-0.67%
"Oct 18, 2022","3,746.26","3,719.98",1.14%
"Oct 17, 2022","3,638.65","3,677.95",2.65%
"Oct 14, 2022","3,690.41","3,583.07",-2.37%
"Oct 13, 2022","3,520.37","3,669.91",2.60%
"Oct 12, 2022","3,590.83","3,577.03",-0.33%
"Oct 11, 2022","3,595.86","3,588.84",-0.65%
"Oct 10, 2022","3,647.51","3,612.39",-0.75%
"Oct 07, 2022","3,706.74","3,639.66",-2.80%
"Oct 06, 2022","3,771.97","3,744.52",-1.02%
"Oct 05, 2022","3,753.25","3,783.28",-0.20%
"Oct 04, 2022","3,726.46","3,790.93",3.06%
"Oct 03, 2022","3,609.78","3,678.43",2.59%
"Sep 30, 2022","3,633.48","3,585.62",-1.51%
"Sep 29, 2022","3,687.01","3,640.47",-2.11%
"Sep 28, 2022","3,651.94","3,719.04",1.97%
"Sep 27, 2022","3,686.44","3,647.29",-0.21%
"Sep 26, 2022","3,682.72","3,655.04",-1.03%
"Sep 23, 2022","3,727.14","3,693.23",-1.72%
"Sep 22, 2022","3,782.36","3,757.99",-0.84%
"Sep 21, 2022","3,871.40","3,789.93",-1.71%
"Sep 20, 2022","3,875.23","3,855.93",-1.13%
"Sep 19, 2022","3,849.91","3,899.89",0.69%
"Sep 16, 2022","3,880.95","3,873.33",-0.72%
"Sep 15, 2022","3,932.41","3,901.35",-1.13%
"Sep 14, 2022","3,940.73","3,946.01",0.34%
"Sep 13, 2022","4,037.12","3,932.69",-4.32%
"Sep 12, 2022","4,083.67","4,110.41",1.06%
"Sep 09, 2022","4,022.94","4,067.36",1.53%
"Sep 08, 2022","3,959.94","4,006.18",0.66%
"Sep 07, 2022","3,909.43","3,979.87",1.83%
"Sep 06, 2022","3,930.89","3,908.19",-0.41%
"Sep 02, 2022","3,994.66","3,924.26",-1.07%
"Sep 01, 2022","3,936.73","3,966.85",0.30%
"Aug 31, 2022","4,000.67","3,955.00",-0.78%
"Aug 30, 2022","4,041.25","3,986.16",-1.10%
"Aug 29, 2022","4,034.58","4,030.61",-0.67%
"Aug 26, 2022","4,198.74","4,057.66",-3.37%
"Aug 25, 2022","4,153.26","4,199.12",1.41%
"Aug 24, 2022","4,126.55","4,140.77",0.29%
"Aug 23, 2022","4,133.09","4,128.73",-0.22%
"Aug 22, 2022","4,195.08","4,137.99",-2.14%
"Aug 19, 2022","4,266.31","4,228.48",-1.29%
"Aug 18, 2022","4,273.13","4,283.74",0.23%
"Aug 17, 2022","4,280.40","4,274.04",-0.72%
"Aug 16, 2022","4,290.46","4,305.20",0.19%
"Aug 15, 2022","4,269.37","4,297.14",0.40%
"Aug 12, 2022","4,225.02","4,280.15",1.73%
"Aug 11, 2022","4,227.40","4,207.27",-0.07%
"Aug 10, 2022","4,181.02","4,210.24",2.13%
"Aug 09, 2022","4,133.11","4,122.47",-0.42%
"Aug 08, 2022","4,155.93","4,140.06",-0.12%
"Aug 05, 2022","4,115.87","4,145.19",-0.16%
"Aug 04, 2022","4,154.85","4,151.94",-0.08%
"Aug 03, 2022","4,107.96","4,155.17",1.56%
"Aug 02, 2022","4,104.21","4,091.19",-0.67%
"Aug 01, 2022","4,112.38","4,118.63",-0.28%
"Jul 29, 2022","4,087.33","4,130.29",1.42%
"Jul 28, 2022","4,026.13","4,072.43",1.21%
"Jul 27, 2022","3,951.43","4,023.61",2.62%
"Jul 26, 2022","3,953.22","3,921.05",-1.15%
"Jul 25, 2022","3,965.72","3,966.84",0.13%
"Jul 22, 2022","3,998.43","3,961.63",-0.93%
"Jul 21, 2022","3,955.47","3,998.95",0.99%
"Jul 20, 2022","3,935.32","3,959.90",0.59%
"Jul 19, 2022","3,860.73","3,936.69",2.76%
"Jul 18, 2022","3,883.79","3,830.85",-0.84%
"Jul 15, 2022","3,818.00","3,863.16",1.92%
"Jul 14, 2022","3,763.99","3,790.38",-0.30%
"Jul 13, 2022","3,779.67","3,801.78",-0.45%
"Jul 12, 2022","3,851.95","3,818.80",-0.92%
"Jul 11, 2022","3,880.94","3,854.43",-1.15%
"Jul 08, 2022","3,888.26","3,899.38",-0.08%
"Jul 07, 2022","3,858.85","3,902.62",1.50%
"Jul 06, 2022","3,831.98","3,845.08",0.36%
"Jul 05, 2022","3,792.61","3,831.39",0.16%
"Jul 01, 2022","3,781.00","3,825.33",1.06%
"Jun 30, 2022","3,785.99","3,785.38",-0.88%
"Jun 29, 2022","3,825.09","3,818.83",-0.07%
"Jun 28, 2022","3,913.00","3,821.55",-2.01%
"Jun 27, 2022","3,920.76","3,900.11",-0.30%
"Jun 24, 2022","3,821.75","3,911.74",3.06%
"Jun 23, 2022","3,774.71","3,795.73",0.95%
"Jun 22, 2022","3,733.89","3,759.89",-0.13%
"Jun 21, 2022","3,715.31","3,764.79",2.45%
"Jun 17, 2022","3,665.90","3,674.84",0.22%
"Jun 16, 2022","3,728.18","3,666.77",-3.25%
"Jun 15, 2022","3,764.05","3,789.99",1.46%
"Jun 14, 2022","3,763.52","3,735.48",-0.38%
"Jun 13, 2022","3,838.15","3,749.63",-3.88%
"Jun 10, 2022","3,974.39","3,900.86",-2.91%
"Jun 09, 2022","4,101.65","4,017.82",-2.38%
"Jun 08, 2022","4,147.12","4,115.77",-1.08%
"Jun 07, 2022","4,096.47","4,160.68",0.95%
"Jun 06, 2022","4,134.72","4,121.43",0.31%
"Jun 03, 2022","4,137.57","4,108.54",-1.63%
"Jun 02, 2022","4,095.41","4,176.82",1.84%
"Jun 01, 2022","4,149.78","4,101.23",-0.75%
"May 31, 2022","4,151.09","4,132.15",-0.63%
"May 27, 2022","4,077.43","4,158.24",2.47%
"May 26, 2022","3,984.60","4,057.84",1.99%
"May 25, 2022","3,929.59","3,978.73",0.95%
"May 24, 2022","3,942.94","3,941.48",-0.81%
"May 23, 2022","3,919.42","3,973.75",1.86%
"May 20, 2022","3,927.76","3,901.36",0.01%
"May 19, 2022","3,899.00","3,900.79",-0.58%
"May 18, 2022","4,051.98","3,923.68",-4.04%
"May 17, 2022","4,052.00","4,088.85",2.02%
"May 16, 2022","4,013.02","4,008.01",-0.39%
"May 13, 2022","3,963.90","4,023.89",2.39%
"May 12, 2022","3,903.95","3,930.08",-0.13%
